# Normalisation fixtures for kn. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.kn.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	ಸೊನ್ನೆ
09:00	ಬೆಳಿಗ್ಗೆ ಒಂಬತ್ತು ಗಂಟೆಗೆ
12:00	ಮಧ್ಯಾಹ್ನ ಹನ್ನೆರಡು ಗಂಟೆಗೆ
13:45	ಮಧ್ಯಾಹ್ನ ಒಂದು ಗಂಟೆ ನಲವತ್ತು ಐದು ನಿಮಿಷಕ್ಕೆ
14:30	ಮಧ್ಯಾಹ್ನ ಎರಡು ಗಂಟೆ ಮೂವತ್ತು ನಿಮಿಷಕ್ಕೆ
17:05	ಸಂಜೆ ಐದು ಗಂಟೆ ಐದು ನಿಮಿಷಕ್ಕೆ
19:59	ಸಂಜೆ ಏಳು ಗಂಟೆ ಐವತ್ತು ಒಂಬತ್ತು ನಿಮಿಷಕ್ಕೆ
21:15	ರಾತ್ರಿ ಒಂಬತ್ತು ಗಂಟೆ ಹದಿನೈದು ನಿಮಿಷಕ್ಕೆ
23:59	ರಾತ್ರಿ ಹನ್ನೊಂದು ಗಂಟೆ ಐವತ್ತು ಒಂಬತ್ತು ನಿಮಿಷಕ್ಕೆ
ಸೆಕ್ಟರ್ 1	ಸೆಕ್ಟರ್ ಒಂದು
ಸೆಕ್ಟರ್ 7	ಸೆಕ್ಟರ್ ಏಳು
ಸೆಕ್ಟರ್ 17	ಸೆಕ್ಟರ್ ಹದಿನೇಳು
ಸೆಕ್ಟರ್ 40	ಸೆಕ್ಟರ್ ನಲವತ್ತು
ಸೆಕ್ಟರ್ 99	ಸೆಕ್ಟರ್ ತೊಂಬತ್ತು ಒಂಬತ್ತು
ಸೆಕ್ಟರ್ 1234	ಸೆಕ್ಟರ್ ಒಂದು ಸಾವಿರ ಎರಡು ನೂರು ಮೂವತ್ತು ನಾಲ್ಕು
sector 12	sector ಹನ್ನೆರಡು
unit 8	unit ಎಂಟು
108	ಒಂದು ಸೊನ್ನೆ ಎಂಟು
112	ಒಂದು ಒಂದು ಎರಡು
100	ಒಂದು ಸೊನ್ನೆ ಸೊನ್ನೆ
911	ಒಂಬತ್ತು ಒಂದು ಒಂದು
102	ಒಂದು ಸೊನ್ನೆ ಎರಡು
101	ಒಂದು ಸೊನ್ನೆ ಒಂದು
4820193	ನಾಲ್ಕು ಎಂಟು ಎರಡು ಸೊನ್ನೆ ಒಂದು ಒಂಬತ್ತು ಮೂರು
90210	ಒಂಬತ್ತು ಸೊನ್ನೆ ಎರಡು ಒಂದು ಸೊನ್ನೆ
1234567890	ಒಂದು ಎರಡು ಮೂರು ನಾಲ್ಕು ಐದು ಆರು ಏಳು ಎಂಟು ಒಂಬತ್ತು ಸೊನ್ನೆ
20260904	ಎರಡು ಸೊನ್ನೆ ಎರಡು ಆರು ಸೊನ್ನೆ ಒಂಬತ್ತು ಸೊನ್ನೆ ನಾಲ್ಕು
99999	ಒಂಬತ್ತು ಒಂಬತ್ತು ಒಂಬತ್ತು ಒಂಬತ್ತು ಒಂಬತ್ತು
100001	ಒಂದು ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ ಒಂದು
20.29 85.82	ಇಪ್ಪತ್ತು ದಶಮಾಂಶ ಎರಡು ಒಂಬತ್ತು ಎಂಬತ್ತು ಐದು ದಶಮಾಂಶ ಎಂಟು ಎರಡು
26.85 80.94	ಇಪ್ಪತ್ತು ಆರು ದಶಮಾಂಶ ಎಂಟು ಐದು ಎಂಬತ್ತು ದಶಮಾಂಶ ಒಂಬತ್ತು ನಾಲ್ಕು
ಸೆಕ್ಟರ್ 17 14:30	ಸೆಕ್ಟರ್ ಹದಿನೇಳು ಮಧ್ಯಾಹ್ನ ಎರಡು ಗಂಟೆ ಮೂವತ್ತು ನಿಮಿಷಕ್ಕೆ
14:30 5 km	ಮಧ್ಯಾಹ್ನ ಎರಡು ಗಂಟೆ ಮೂವತ್ತು ನಿಮಿಷಕ್ಕೆ ಐದು ಕಿಲೋಮೀಟರ್
ಸೆಕ್ಟರ್ 4 250 kg	ಸೆಕ್ಟರ್ ನಾಲ್ಕು ಎರಡು ನೂರು ಐವತ್ತು ಕಿಲೋಗ್ರಾಂ
0 2	ಸೊನ್ನೆ ಎರಡು
